,Momenta 1,Momenta 2,Eta 1,Eta 2,Phi 1,Phi 2
375,102.401,79.189,0.235,1.204,-2.216,0.867
376,119.545,94.484,0.247,-0.74,-0.78,2.216
377,48.82,33.283,2.302,-0.861,-2.303,-0.769
378,189.543,155.348,0.815,0.744,-3.048,0.899
379,103.7,87.147,2.358,0.394,0.228,-3.049
380,105.542,97.408,0.611,-0.29,1.494,-1.688
381,90.438,88.553,-0.942,-0.252,1.018,-2.059
382,236.663,175.012,-0.934,-0.63,0.727,2.413
383,153.888,152.133,0.083,-0.899,0.979,-2.218
384,126.758,117.243,-1.024,-0.961,-2.231,0.921
385,75.919,59.612,0.425,-1.449,0.61,-2.298
386,100.353,99.118,2.34,0.529,3.048,-0.199
387,127.567,107.637,0.719,0.36,-2.494,0.582
388,90.456,83.229,-0.103,-1.134,0.185,-2.681
389,58.217,53.506,1.443,-0.768,-0.319,2.904
390,94.328,76.873,-2.201,-0.314,-1.259,2.162
391,76.789,64.227,-1.081,0.477,1.69,-1.421
392,80.684,80.572,1.616,-1.336,-3.099,-0.511
393,144.102,104.525,1.395,2.193,-2.755,0.603
394,67.118,49.974,-0.51,1.809,-0.204,-3.044
395,123.903,77.021,-0.919,0.581,-2.695,-0.676
396,91.74,78.924,1.159,-0.338,-2.911,0.686
397,162.631,111.763,-1.41,-0.455,-0.518,2.292
398,96.3,88.038,0.729,1.352,-2.184,0.729
399,92.846,82.834,-0.706,-0.156,1.886,-1.705
400,103.167,84.533,2.044,1.725,0.669,-2.581
401,155.541,45.261,0.662,-0.176,-2.869,0.775
402,115.06,98.6,0.664,1.251,2.656,-0.13
403,82.648,70.949,-0.157,1.296,2.065,-0.828
404,80.103,74.188,-0.654,-2.34,-0.993,2.0
405,129.275,75.595,1.46,1.493,0.208,-3.119
406,101.344,78.556,1.355,0.619,2.185,-0.568
407,224.211,166.734,0.571,-0.414,-2.703,1.366
408,81.731,77.717,-0.953,1.462,-1.864,1.378
409,113.854,112.415,-1.818,-1.0,0.217,-2.866
410,67.264,62.635,-0.776,1.166,3.006,-0.147
411,103.987,72.533,-1.865,0.909,2.106,0.559
412,82.147,81.65,0.964,-0.373,0.622,-2.539
413,114.825,45.596,1.214,-1.108,1.132,-2.372
414,194.559,190.507,-1.231,-0.335,-0.746,2.465
415,376.299,287.773,-1.011,0.118,-2.364,1.131
416,114.214,113.995,1.871,2.236,-0.896,2.229
417,104.27,103.559,-0.256,0.216,0.29,-2.808
418,143.543,61.483,0.215,-0.897,-1.985,1.719
419,72.083,64.22,0.507,-1.222,-3.135,0.435
420,106.64,94.279,-1.423,-2.245,0.852,-2.094
421,92.336,79.675,-0.952,-0.573,1.209,-2.049
422,102.052,87.381,2.074,0.963,1.405,-1.595
423,147.29,136.595,0.334,-1.315,-1.558,1.603
424,145.709,101.804,-0.749,-0.728,2.686,-0.504
425,161.024,153.905,-1.352,-1.293,0.762,-2.341
426,126.993,122.774,-1.484,-1.176,-0.221,2.952
427,114.839,100.64,-1.043,-2.219,-1.873,0.998
428,190.882,185.5,1.176,1.535,2.292,-0.98
429,79.726,78.695,1.637,0.329,-2.041,1.49
430,112.216,63.371,-0.209,-1.205,1.38,-1.569
431,139.67,85.476,-0.605,0.292,2.766,-0.179
432,105.737,84.184,0.447,0.322,-2.833,0.787
433,95.526,93.162,-1.5,-2.268,1.896,-1.156
434,76.791,64.432,-0.245,-2.325,-1.829,1.264
435,112.631,71.071,-1.08,0.091,3.129,0.059
436,44.449,44.307,-0.651,2.176,0.401,-2.775
437,121.605,110.347,-0.077,1.031,-0.823,2.185
438,165.122,163.487,-0.849,-1.065,2.729,-0.426
439,142.803,136.353,-1.574,-1.135,2.972,-0.26
440,57.833,53.692,0.984,-1.176,1.597,-1.695
441,106.382,88.103,-1.591,-1.874,-2.565,-0.307
442,171.397,170.542,0.508,0.251,1.025,-1.963
443,134.563,134.338,1.046,-0.428,-3.116,0.01
444,97.382,86.322,1.051,-0.863,-1.116,1.913
445,111.884,101.031,-0.501,-0.312,-0.198,2.272
446,272.556,151.44,1.208,1.315,-1.345,-2.456
447,139.974,126.074,-0.337,-0.075,-2.238,0.367
448,89.584,84.161,0.243,-0.705,-0.114,3.046
449,125.861,54.024,0.915,0.029,1.013,-2.037
450,162.13,103.975,-1.147,-0.83,-2.512,0.814
451,92.314,81.068,-1.127,-2.06,-2.996,0.101
452,172.399,166.537,-0.952,-1.906,-1.387,1.69
453,125.046,86.902,1.05,-0.544,2.304,0.544
454,169.421,145.053,0.363,-0.227,0.045,-2.663
455,88.988,79.863,-0.381,0.312,0.35,-2.75
456,179.611,147.136,0.093,0.77,-1.104,1.949
457,286.869,271.901,-1.86,-1.871,1.909,-1.065
458,76.239,72.496,0.802,-1.245,0.07,2.962
459,87.467,81.082,0.476,1.535,2.095,-0.83
460,87.94,84.81,-0.948,-0.958,1.317,-1.839
461,60.887,59.81,-0.539,1.631,2.939,-0.146
462,48.509,47.207,-1.333,1.07,1.333,-1.801
463,142.188,140.021,-0.575,-0.883,-3.047,0.072
464,90.883,78.062,0.984,-0.887,-0.344,2.968
465,114.257,113.933,-1.103,-1.02,-0.998,2.155
466,88.027,80.267,2.001,0.058,0.483,-2.718
467,65.292,62.515,-0.258,1.709,0.549,-2.784
468,131.879,117.246,1.649,-0.616,-0.161,2.969
469,112.341,110.736,1.072,0.336,0.477,-2.659
470,88.271,71.677,-1.02,-2.395,2.313,-0.739
471,86.62,67.239,-1.111,-2.274,-2.615,0.69
472,107.308,97.299,2.332,2.337,-1.877,1.304
473,353.468,318.728,0.082,0.385,1.775,-1.656
474,88.196,74.648,1.172,0.251,-1.009,2.15
475,81.519,68.075,0.451,1.907,2.171,-1.382
476,276.325,163.203,-2.18,-1.849,0.769,-3.076
477,151.373,32.54,0.468,2.205,-0.981,1.948
478,105.411,74.027,0.031,-0.306,2.535,-0.569
479,100.534,51.068,0.276,1.819,-3.068,-0.59
480,65.904,58.327,-2.351,-0.276,1.376,-1.875
481,108.393,93.384,1.307,1.32,1.717,-0.869
482,122.573,102.907,-1.288,-1.081,-1.139,1.757
483,77.328,76.821,0.621,-1.181,1.05,-2.266
484,92.638,91.15,0.501,2.028,-2.665,0.506
485,76.639,46.962,1.761,-1.113,0.707,-2.974
486,91.523,76.665,0.298,1.952,0.481,-2.333
487,160.291,110.318,-1.114,-0.848,-0.621,2.184
488,85.468,79.289,1.781,-0.588,1.906,-1.06
489,93.224,88.007,1.326,0.578,-0.686,2.215
490,95.395,77.522,-0.015,0.636,-1.594,1.166
491,124.186,53.498,-1.488,-2.166,-0.421,2.311
492,276.229,145.102,0.539,1.262,1.555,2.06
