,Momenta,Eta,Phi
330,"[199.965, 186.744]","[-0.621, -0.097]","[2.289, -0.621]"
331,"[193.643, 192.256]","[0.57, -0.117]","[-0.681, 1.9]"
332,"[249.817, 152.469]","[0.576, 0.285]","[-0.43, 2.651]"
333,"[190.854, 183.284]","[0.823, 0.028]","[-2.958, 0.198]"
334,"[210.809, 179.706]","[-1.067, -0.748]","[1.577, -1.251]"
335,"[189.064, 146.127]","[-0.512, -1.854]","[-3.123, -0.283]"
336,"[188.339, 163.892]","[1.128, 0.062]","[1.862, -1.228]"
337,"[209.437, 186.92]","[0.498, 0.538]","[-1.464, 1.658]"
338,"[197.429, 167.212]","[-0.683, 0.124]","[-0.58, 2.822]"
339,"[220.047, 185.465]","[1.311, 0.996]","[3.124, 0.312]"
340,"[235.348, 167.878]","[0.063, 0.743]","[0.36, -2.525]"
341,"[170.287, 129.365]","[0.28, -1.346]","[-0.234, 2.783]"
342,"[126.657, 123.466]","[-1.356, 0.832]","[1.672, -1.361]"
343,"[181.818, 147.445]","[-0.423, 0.912]","[0.61, -2.345]"
344,"[194.055, 193.002]","[-0.601, -0.126]","[-3.107, 0.08]"
345,"[192.588, 177.256]","[-1.313, -0.468]","[2.5, -0.579]"
346,"[179.909, 149.496]","[1.298, 2.437]","[-0.221, 3.09]"
347,"[301.04, 136.569]","[-0.513, -2.252]","[-0.228, -0.653]"
348,"[255.28, 165.182]","[0.367, 1.097]","[-1.49, 0.855]"
349,"[232.4, 204.568]","[-1.852, -2.421]","[3.062, -1.102]"
350,"[217.273, 137.594]","[-0.319, -1.428]","[2.805, -0.49]"
351,"[98.102, 60.066]","[1.834, -1.536]","[0.534, 2.829]"
352,"[204.132, 201.64]","[0.064, 0.378]","[-1.942, 1.156]"
353,"[357.399, 119.043]","[-1.102, -0.643]","[1.896, -1.999]"
354,"[202.384, 200.794]","[-1.804, -1.999]","[2.29, -0.909]"
355,"[196.8, 193.605]","[0.45, 0.711]","[3.056, -0.022]"
356,"[169.98, 151.908]","[-1.755, -0.362]","[0.694, -2.312]"
357,"[362.858, 80.756]","[-0.96, 0.216]","[-2.673, 0.923]"
358,"[197.244, 152.258]","[-1.75, -0.497]","[-2.996, 0.077]"
359,"[212.666, 120.454]","[1.313, -0.056]","[0.777, -2.438]"
360,"[194.689, 173.116]","[1.323, 2.111]","[1.706, -1.821]"
361,"[334.904, 203.773]","[-1.487, -1.2]","[-1.865, -0.08]"
362,"[320.784, 178.481]","[0.224, 0.803]","[-2.248, -0.517]"
363,"[169.401, 165.044]","[-1.926, -0.742]","[1.178, -2.132]"
364,"[282.554, 144.354]","[-0.616, 0.492]","[0.679, -1.177]"
365,"[213.176, 180.394]","[1.051, 0.7]","[2.203, -0.951]"
