,Momenta,Eta,Phi
331,"[683.831, 683.609]","[0.924, 0.025]","[-1.981, 1.042]"
332,"[255.089, 209.681]","[2.178, -0.386]","[2.968, -0.322]"
333,"[238.215, 236.096]","[-1.942, 0.963]","[-1.635, 1.515]"
334,"[273.532, 271.867]","[1.329, -0.841]","[1.107, -2.036]"
335,"[407.025, 401.087]","[-1.167, 0.384]","[-2.376, 0.722]"
336,"[422.368, 408.044]","[-0.345, 1.214]","[0.005, -3.05]"
337,"[458.789, 453.325]","[-0.495, -0.569]","[2.455, -0.688]"
338,"[346.951, 335.499]","[1.808, -0.785]","[0.652, -2.435]"
339,"[863.183, 699.042]","[-0.106, 0.746]","[-2.464, 0.434]"
340,"[673.152, 666.506]","[0.052, 0.357]","[-0.099, 3.059]"
341,"[264.759, 258.003]","[-1.662, 0.735]","[2.169, -0.97]"
342,"[340.877, 323.702]","[0.282, -1.476]","[0.612, -2.502]"
343,"[474.395, 376.775]","[1.431, 0.206]","[1.178, -2.146]"
344,"[497.137, 307.123]","[0.745, -1.808]","[1.142, -1.692]"
345,"[632.831, 606.262]","[-1.473, 0.153]","[-1.718, 1.414]"
346,"[416.739, 414.646]","[-1.624, 0.605]","[1.094, -2.026]"
347,"[315.388, 303.678]","[-2.36, -0.33]","[2.742, -0.364]"
348,"[427.694, 401.134]","[0.131, -2.024]","[-2.053, 1.235]"
349,"[304.552, 277.302]","[0.564, 2.335]","[2.714, -0.692]"
350,"[409.468, 377.567]","[1.151, -1.008]","[-2.492, 0.903]"
351,"[444.169, 444.031]","[1.919, 0.17]","[1.687, -1.511]"
352,"[502.332, 479.546]","[-0.67, -1.207]","[-3.122, 0.08]"
353,"[430.839, 371.527]","[0.102, -1.188]","[-1.665, 1.451]"
354,"[485.802, 478.516]","[0.485, 0.558]","[1.584, -1.605]"
355,"[594.443, 486.419]","[-1.047, -1.918]","[2.236, -0.82]"
356,"[492.526, 446.364]","[-1.514, -1.0]","[-2.99, 0.176]"
357,"[452.618, 335.003]","[0.926, -1.785]","[-0.531, -2.413]"
358,"[479.706, 457.884]","[0.18, 0.861]","[-1.429, 1.695]"
359,"[395.127, 386.209]","[-0.496, 1.712]","[0.611, -2.392]"
360,"[450.796, 437.054]","[1.154, 1.923]","[0.414, -2.824]"
361,"[505.221, 476.867]","[0.018, 0.02]","[2.905, -0.148]"
362,"[238.723, 225.207]","[1.752, -1.082]","[-0.038, -2.856]"
363,"[900.994, 876.992]","[0.196, 0.587]","[0.638, -2.428]"
364,"[340.329, 316.967]","[-1.47, 0.336]","[1.196, -1.868]"
365,"[601.422, 599.163]","[0.098, 1.174]","[-2.836, 0.315]"
366,"[285.006, 175.268]","[0.75, -2.087]","[-1.76, 0.954]"
