,Momenta 1,Momenta 2,Eta 1,Eta 2,Phi 1,Phi 2
436,377.574,374.763,-0.7,-0.435,-2.062,1.098
437,410.467,337.686,-0.185,-0.353,1.474,-1.716
438,408.899,348.757,-0.621,-0.947,-1.677,1.224
439,379.565,365.985,-0.195,0.062,0.683,-2.337
440,486.272,118.512,0.321,-2.03,-1.37,-2.666
441,337.678,278.24,0.081,1.42,2.875,-0.298
442,376.339,336.67,0.671,1.33,-1.72,1.3
443,364.747,301.0,-0.481,0.201,1.115,-1.836
444,400.929,381.692,-0.191,-0.528,0.675,-1.827
445,452.229,272.338,-1.383,-1.139,1.423,-2.328
446,260.403,225.734,1.126,-1.171,1.166,-2.026
447,463.559,446.685,0.621,0.558,0.495,-1.504
448,204.126,64.898,1.507,-1.081,-0.772,2.552
449,218.014,188.192,0.786,-1.689,0.67,-2.824
450,548.502,257.631,-0.953,-0.352,0.344,2.982
451,537.391,236.945,1.13,1.903,2.624,-0.54
452,396.66,351.609,-0.668,-0.755,1.725,-1.54
453,345.867,314.64,0.307,1.357,1.286,-1.958
454,242.188,215.718,0.284,-1.882,-0.482,2.705
455,419.189,268.428,-0.015,0.897,-2.861,0.56
456,483.972,314.947,2.019,0.25,2.261,-0.281
457,477.432,295.188,-1.193,-0.727,0.721,-1.872
458,375.012,373.201,-0.282,-0.225,0.27,-2.917
459,379.146,323.701,0.023,0.876,2.242,-1.046
460,324.818,254.929,0.912,-0.147,-0.814,2.2
461,389.193,315.051,0.222,-0.092,1.34,-1.969
462,316.838,246.883,-0.382,0.846,1.837,-2.068
463,246.752,228.089,1.1,-0.934,1.379,-1.668
464,395.454,366.645,-0.59,-0.392,2.458,-1.078
465,361.472,296.646,1.313,0.262,-0.13,2.836
466,393.167,346.065,0.203,-0.245,-1.875,1.126
467,369.1,352.931,0.457,0.952,-1.781,1.404
468,343.729,307.291,0.193,1.295,0.256,-2.796
469,591.642,315.526,-1.132,-1.285,0.804,-1.274
470,171.283,163.935,-2.348,0.259,2.955,-0.203
471,341.15,238.72,-0.299,1.32,-2.968,-0.261
472,437.695,380.743,0.453,0.737,-0.725,2.202
473,504.344,231.443,0.018,-0.949,-2.38,1.191
474,391.198,175.894,-0.29,-0.011,3.101,-0.414
475,382.152,373.67,1.475,1.545,-2.727,0.733
476,458.186,297.655,0.576,1.022,-0.233,-3.115
477,346.571,319.39,0.904,-0.09,-0.317,2.781
478,384.67,346.626,0.737,0.319,0.433,-2.5
479,368.334,367.442,-0.252,-0.681,1.041,-2.171
480,388.707,108.044,1.329,2.196,-1.455,0.77
481,339.571,336.344,-0.479,0.382,-0.52,2.496
482,400.647,351.747,0.104,0.0,-1.389,1.586
483,346.945,344.877,-0.816,-1.598,-0.805,2.347
484,510.383,281.156,1.079,1.065,-2.148,0.821
485,366.91,347.973,-0.037,-0.617,0.443,-2.875
486,556.252,422.462,-0.592,-0.323,-0.994,1.727
487,368.941,367.03,0.346,0.781,-0.276,3.094
488,485.824,217.224,-0.044,1.202,-1.648,0.361
489,380.641,368.785,0.987,1.302,1.084,-2.182
490,330.751,225.309,0.924,-0.806,1.078,-1.662
491,442.879,343.845,1.555,1.034,1.79,-0.624
